model,role,selected,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_recall_std,cv_precision_mean,cv_precision_std,cv_accuracy_mean,cv_accuracy_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_true_negative,test_false_positive,test_false_negative,test_true_positive
Logistic Regression,candidate,True,0.845952,0.012354,0.628582,0.023248,0.801338,0.037933,0.51736,0.018826,0.748848,0.015231,0.737402,0.503436,0.783422,0.612971,0.841406,746,289,81,293
Random Forest,candidate,False,0.845706,0.008923,0.630047,0.016398,0.762542,0.029233,0.537028,0.01284,0.762515,0.009383,0.758694,0.53125,0.772727,0.62963,0.841696,780,255,85,289
Dummy (stratified) baseline,baseline,False,0.506517,0.017055,0.276206,0.024903,0.277592,0.025028,0.274834,0.024779,0.613949,0.013328,0.621718,0.289125,0.291444,0.29028,0.516253,767,268,265,109
